t	x_d	y_d	theta_d	Vr	oz	Vdot
25.000000	5.000000	0.000000	0.000000	0.200000	0.000000	0.000000
25.100000	5.020000	0.000000	0.000000	0.200000	0.000000	0.000000
25.200000	5.040000	0.000000	0.000000	0.200000	0.000000	0.000000
25.300000	5.060000	0.000000	0.000000	0.200000	0.000000	0.000000
25.400000	5.080000	0.000000	0.000000	0.200000	0.000000	0.000000
25.500000	5.100000	0.000000	0.000000	0.200000	0.000000	0.000000
25.600000	5.120000	0.000000	0.000000	0.200000	0.000000	0.000000
25.700000	5.140000	0.000000	0.000000	0.200000	0.000000	0.000000
25.800000	5.160000	0.000000	0.000000	0.200000	0.000000	0.000000
25.900000	5.180000	0.000000	0.000000	0.200000	0.000000	0.000000
26.000000	5.200000	0.000000	0.000000	0.200000	0.000000	0.000000
26.100000	5.220000	0.000000	0.000000	0.200000	0.000000	0.000000
26.200000	5.240000	0.000000	0.000000	0.200000	0.000000	0.000000
26.300000	5.260000	0.000000	0.000000	0.200000	0.000000	0.000000
26.400000	5.280000	0.000000	0.000000	0.200000	0.000000	0.000000
26.500000	5.300000	0.000000	0.000000	0.200000	0.000000	0.000000
26.600000	5.320000	0.000000	0.000000	0.200000	0.000000	0.000000
26.700000	5.340000	0.000000	0.000000	0.200000	0.000000	0.000000
26.800000	5.360000	0.000000	0.000000	0.200000	0.000000	0.000000
26.900000	5.380000	0.000000	0.000000	0.200000	0.000000	0.000000
27.000000	5.400000	0.000000	0.000000	0.200000	0.000000	0.000000
27.100000	5.420000	0.000000	0.000000	0.200000	0.000000	0.000000
27.200000	5.440000	0.000000	0.000000	0.200000	0.000000	0.000000
27.300000	5.460000	0.000000	0.000000	0.200000	0.000000	0.000000
27.400000	5.480000	0.000000	0.000000	0.200000	0.000000	0.000000
27.500000	5.500000	0.000000	0.000000	0.200000	0.000000	0.000000
27.600000	5.520000	0.000000	0.000000	0.200000	0.000000	0.000000
27.700000	5.540000	0.000000	0.000000	0.200000	0.000000	0.000000
27.800000	5.560000	0.000000	0.000000	0.200000	0.000000	0.000000
27.900000	5.580000	0.000000	0.000000	0.200000	0.000000	0.000000
28.000000	5.600000	0.000000	0.000000	0.200000	0.000000	0.000000
28.100000	5.620000	0.000000	0.000000	0.200000	0.000000	0.000000
28.200000	5.640000	0.000000	0.000000	0.200000	0.000000	0.000000
28.300000	5.660000	0.000000	0.000000	0.200000	0.000000	0.000000
28.400000	5.680000	0.000000	0.000000	0.200000	0.000000	0.000000
28.500000	5.700000	0.000000	0.000000	0.200000	0.000000	0.000000
28.600000	5.720000	0.000000	0.000000	0.200000	0.000000	0.000000
28.700000	5.740000	0.000000	0.000000	0.200000	0.000000	0.000000
28.800000	5.760000	0.000000	0.000000	0.200000	0.000000	0.000000
28.900000	5.780000	0.000000	0.000000	0.200000	0.000000	0.000000
29.000000	5.800000	0.000000	0.000000	0.200000	0.000000	0.000000
29.100000	5.820000	0.000000	0.000000	0.200000	0.000000	0.000000
